Date : 2021-07-22 20:47:47
Directory : d:\vue\vueJS_016_字研所\02-装裱大师APP
Total : 295 files,  31866 codes, 5797 comments, 3107 blanks, all 40770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id\package.json                             | JSON       |         16 |          0 |          1 |         17 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\changelog.md                                                           | Markdown   |          4 |          0 |          1 |          5 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\components\uni-swiper-dot\uni-swiper-dot.vue                           | Vue        |        162 |         36 |         16 |        214 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\package.json                                                           | JSON       |         83 |          0 |          0 |         83 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uni_modules\uni-swiper-dot\readme.md                                                              | Markdown   |         65 |          0 |         20 |         85 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\apk\cmManifestCache.json                                                          | JSON       |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappchooselocation.js                                      | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappes6.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappopenlocation.js                                        | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniapppicker.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappquill.js                                               | JavaScript |          1 |          7 |          0 |          8 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappquillimageresize.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappscan.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\__uniappview.html                                              | HTML       |         22 |          0 |          4 |         26 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-config-service.js                                          | JavaScript |          7 |          0 |          2 |          9 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-config.js                                                  | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-service.js                                                 | JavaScript |          2 |          5 |          0 |          7 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\app-view.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\manifest.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\channel\app-sub-service.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\member\app-sub-service.js                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\shop\app-sub-service.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\pages\webview\app-sub-service.js                               | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\common\js\touch-emulator.js                             | JavaScript |        228 |         88 |         47 |        363 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\logo.svg                                                | XML        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\static\zico.scss                                               | SCSS       |         31 |          8 |          1 |         40 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.css                                                       | CSS        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\cache\wgt\__UNI__9580DBA\view.umd.min.js                                                | JavaScript |          2 |          4 |          0 |          6 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\.automator\app-plus\.automator.json                                          | JSON       |          0 |          0 |          1 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappchooselocation.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappes6.js                                                      | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappopenlocation.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniapppicker.js                                                   | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquill.js                                                    | JavaScript |          1 |          7 |          0 |          8 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappquillimageresize.js                                         | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappscan.js                                                     | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\__uniappview.html                                                   | HTML       |         22 |          0 |          4 |         26 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config-service.js                                               | JavaScript |          7 |          0 |          2 |          9 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-config.js                                                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-service.js                                                      | JavaScript |          2 |          5 |          0 |          7 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\app-view.js                                                         | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\manifest.json                                                       | JSON       |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\channel\app-sub-service.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\member\app-sub-service.js                                     | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\shop\app-sub-service.js                                       | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\pages\webview\app-sub-service.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\common\js\touch-emulator.js                                  | JavaScript |        228 |         88 |         47 |        363 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\logo.svg                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\static\zico.scss                                                    | SCSS       |         31 |          8 |          1 |         40 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.css                                                            | CSS        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\dist\build\app-plus\view.umd.min.js                                                     | JavaScript |          2 |          4 |          0 |          6 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappchooselocation.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappes6.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappopenlocation.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniapppicker.js                                          | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquill.js                                           | JavaScript |          1 |          7 |          0 |          8 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappquillimageresize.js                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappscan.js                                            | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\__uniappview.html                                          | HTML       |         22 |          0 |          4 |         26 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config-service.js                                      | JavaScript |          7 |          0 |          2 |          9 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-config.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-service.js                                             | JavaScript |          2 |          5 |          0 |          7 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\app-view.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\manifest.json                                              | JSON       |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\channel\app-sub-service.js                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\member\app-sub-service.js                            | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\shop\app-sub-service.js                              | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\pages\webview\app-sub-service.js                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\common\js\touch-emulator.js                         | JavaScript |        228 |         88 |         47 |        363 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\logo.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\static\zico.scss                                           | SCSS       |         31 |          8 |          1 |         40 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\view.css                                                   | CSS        |          1 |          0 |          0 |          1 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\unpackage\resources\__UNI__9580DBA\www\view.umd.min.js                                            | JavaScript |          2 |          4 |          0 |          6 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\README.md                                                                                | Markdown   |         76 |          7 |         24 |        107 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-action-sheet\u-action-sheet.vue                                             | Vue        |        141 |         42 |          8 |        191 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-alert-tips\u-alert-tips.vue                                                 | Vue        |        199 |         37 |         21 |        257 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-avatar-cropper\u-avatar-cropper.vue                                         | Vue        |        231 |         46 |         14 |        291 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-avatar-cropper\weCropper.js                                                 | JavaScript |        928 |        180 |        158 |      1,266 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-avatar\u-avatar.vue                                                         | Vue        |        193 |         42 |         10 |        245 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-back-top\u-back-top.vue                                                     | Vue        |        131 |         17 |          6 |        154 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-badge\u-badge.vue                                                           | Vue        |        143 |         57 |         16 |        216 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-button\u-button.vue                                                         | Vue        |        458 |         99 |         40 |        597 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-calendar\u-calendar.vue                                                     | Vue        |        547 |         69 |         23 |        639 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-car-keyboard\u-car-keyboard.vue                                             | Vue        |        234 |         10 |         14 |        258 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-card\u-card.vue                                                             | Vue        |        232 |         56 |         12 |        300 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-cell-group\u-cell-group.vue                                                 | Vue        |         52 |         13 |          6 |         71 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-cell-item\u-cell-item.vue                                                   | Vue        |        236 |         63 |         18 |        317 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-checkbox-group\u-checkbox-group.vue                                         | Vue        |         80 |         40 |          4 |        124 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-checkbox\u-checkbox.vue                                                     | Vue        |        216 |         56 |         13 |        285 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-circle-progress\u-circle-progress.vue                                       | Vue        |        168 |         48 |          5 |        221 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-circle-progress\u-line-progress\u-line-progress.vue                         | Vue        |        112 |         25 |         11 |        148 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-col\u-col.vue                                                               | Vue        |        122 |         18 |         17 |        157 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-collapse-item\u-collapse-item.vue                                           | Vue        |        164 |         30 |         11 |        205 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-collapse\u-collapse.vue                                                     | Vue        |         73 |         23 |          4 |        100 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-column-notice\u-column-notice.vue                                           | Vue        |        196 |         33 |          9 |        238 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-count-down\u-count-down.vue                                                 | Vue        |        251 |         60 |          8 |        319 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-count-to\u-count-to.vue                                                     | Vue        |        199 |         38 |          5 |        242 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-divider\u-divider.vue                                                       | Vue        |        114 |         30 |         10 |        154 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-dropdown-item\u-dropdown-item.vue                                           | Vue        |        100 |         30 |          3 |        133 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-dropdown\u-dropdown.vue                                                     | Vue        |        223 |         62 |         14 |        299 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-empty\u-empty.vue                                                           | Vue        |        116 |         71 |          7 |        194 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-field\u-field.vue                                                           | Vue        |        304 |         60 |         21 |        385 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-form-item\u-form-item.vue                                                   | Vue        |        313 |         92 |         27 |        432 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-form\u-form.vue                                                             | Vue        |         92 |         39 |          4 |        135 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-full-screen\u-full-screen.vue                                               | Vue        |         48 |          0 |          5 |         53 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-gap\u-gap.vue                                                               | Vue        |         39 |         13 |          3 |         55 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-grid-item\u-grid-item.vue                                                   | Vue        |         96 |         22 |          9 |        127 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-grid\u-grid.vue                                                             | Vue        |         81 |         23 |          5 |        109 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-icon\u-icon.vue                                                             | Vue        |        247 |         72 |         18 |        337 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-image\u-image.vue                                                           | Vue        |        200 |         62 |          6 |        268 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-index-anchor\u-index-anchor.vue                                             | Vue        |         75 |         10 |          5 |         90 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-index-list\u-index-list.vue                                                 | Vue        |        287 |         20 |          9 |        316 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-input\u-input.vue                                                           | Vue        |        300 |         75 |         13 |        388 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-keyboard\u-keyboard.vue                                                     | Vue        |        156 |         52 |         10 |        218 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-lazy-load\u-lazy-load.vue                                                   | Vue        |        173 |         67 |          5 |        245 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-line-progress\u-line-progress.vue                                           | Vue        |        112 |         25 |         11 |        148 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-line\u-line.vue                                                             | Vue        |         60 |         20 |          5 |         85 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-link\u-link.vue                                                             | Vue        |         62 |         24 |          4 |         90 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-loading-page\u-loading-page.vue                                             | Vue        |         18 |          0 |          8 |         26 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-loading\u-loading.vue                                                       | Vue        |         78 |         17 |          9 |        104 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-loadmore\u-loadmore.vue                                                     | Vue        |        153 |         41 |         10 |        204 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-mask\u-mask.vue                                                             | Vue        |         96 |         22 |          6 |        124 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-message-input\u-message-input.vue                                           | Vue        |        243 |         48 |         21 |        312 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-modal\u-modal.vue                                                           | Vue        |        218 |         57 |          9 |        284 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-navbar\u-navbar.vue                                                         | Vue        |        235 |         67 |         14 |        316 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-no-network\u-no-network.vue                                                 | Vue        |        207 |         16 |         11 |        234 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-notice-bar\u-notice-bar.vue                                                 | Vue        |        203 |         59 |         11 |        273 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-number-box\u-number-box.vue                                                 | Vue        |        283 |         71 |         10 |        364 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-number-keyboard\u-number-keyboard.vue                                       | Vue        |        141 |          9 |          9 |        159 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\libs\CssHandler.js                                                    | JavaScript |         97 |          1 |          3 |        101 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\libs\MpHtmlParser.js                                                  | JavaScript |        547 |         32 |          2 |        581 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\libs\config.js                                                        | JavaScript |         60 |         16 |          5 |         81 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\libs\handler.wxs                                                      | XML        |         22 |          0 |          1 |         23 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\libs\trees.vue                                                        | Vue        |        426 |         42 |         38 |        506 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-parse\u-parse.vue                                                           | Vue        |        521 |        119 |          6 |        646 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-picker\u-picker.vue                                                         | Vue        |        570 |         91 |         16 |        677 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-popup\u-popup.vue                                                           | Vue        |        356 |         81 |         20 |        457 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-radio-group\u-radio-group.vue                                               | Vue        |         86 |         39 |          4 |        129 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-radio\u-radio.vue                                                           | Vue        |        209 |         50 |         13 |        272 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-rate\u-rate.vue                                                             | Vue        |        213 |         56 |          7 |        276 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-read-more\u-read-more.vue                                                   | Vue        |        145 |         27 |          8 |        180 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-row-notice\u-row-notice.vue                                                 | Vue        |        231 |         28 |         11 |        270 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-row\u-row.vue                                                               | Vue        |         62 |         18 |          5 |         85 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-search\u-search.vue                                                         | Vue        |        259 |         73 |         11 |        343 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-section\u-section.vue                                                       | Vue        |        119 |         27 |          9 |        155 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-select\u-select.vue                                                         | Vue        |        321 |         82 |         15 |        418 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-skeleton\u-skeleton.vue                                                     | Vue        |        147 |         46 |          7 |        200 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-slider\u-slider.vue                                                         | Vue        |        199 |         50 |          9 |        258 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-steps\u-steps.vue                                                           | Vue        |        162 |         21 |         18 |        201 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-sticky\u-sticky.vue                                                         | Vue        |        129 |         24 |          5 |        158 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-subsection\u-subsection.vue                                                 | Vue        |        288 |         58 |         10 |        356 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-swipe-action\u-swipe-action.vue                                             | Vue        |        206 |         42 |          8 |        256 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-swiper\u-swiper.vue                                                         | Vue        |        271 |         53 |         17 |        341 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-switch\u-switch.vue                                                         | Vue        |        127 |         27 |         10 |        164 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-tabbar\u-tabbar.vue                                                         | Vue        |        271 |         47 |         13 |        331 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-table\u-table.vue                                                           | Vue        |         61 |         20 |          4 |         85 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-tabs-swiper\u-tabs-swiper.vue                                               | Vue        |        385 |         84 |         20 |        489 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-tabs\u-tabs.vue                                                             | Vue        |        270 |         89 |         11 |        370 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-tag\u-tag.vue                                                               | Vue        |        223 |         44 |         28 |        295 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-td\u-td.vue                                                                 | Vue        |         53 |          9 |          5 |         67 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-th\u-th.vue                                                                 | Vue        |         50 |          9 |          4 |         63 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-time-line-item\u-time-line-item.vue                                         | Vue        |         67 |         10 |          7 |         84 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-time-line\u-time-line.vue                                                   | Vue        |         32 |          6 |          6 |         44 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-toast\u-toast.vue                                                           | Vue        |        176 |         30 |         15 |        221 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-top-tips\u-top-tips.vue                                                     | Vue        |         92 |         19 |         11 |        122 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-tr\u-tr.vue                                                                 | Vue        |         16 |          6 |          4 |         26 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-upload\u-upload.vue                                                         | Vue        |        507 |        133 |         15 |        655 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-verification-code\u-verification-code.vue                                   | Vue        |        123 |         38 |          4 |        165 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\components\u-waterfall\u-waterfall.vue                                                   | Vue        |        132 |         39 |          6 |        177 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\iconfont.css                                                                             | CSS        |        680 |          8 |        223 |        911 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\index.js                                                                                 | JavaScript |         87 |         44 |         10 |        141 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\libs\config\config.js                                                                    | JavaScript |         12 |          2 |          1 |         15 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\libs\config\zIndex.js                                                                    | JavaScript |         10 |          9 |          1 |         20 |
| d:\vue\vueJS_016_字研所\02-装裱大师APP\uview-ui\libs\css\color.scss                                                                      | SCSS       |        117 |          0 |         39 |        156 |
